"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2021","13.2660","13.4831","13.8741","12.3754","","0.01%"
"11/30/2021","13.2646","13.4806","13.8430","12.4363","","-1.58%"
"11/30/2021","13.4782","12.8264","13.7441","12.6870","","0.04%"
"11/29/2021","13.4732","12.8214","13.7391","12.7069","","5.10%"
"11/29/2021","12.8189","12.4127","12.9232","12.3379","","3.17%"
"11/26/2021","12.4253","11.9104","12.6458","11.8734","","0.03%"
"11/25/2021","12.4217","11.9883","12.5303","11.9102","","3.60%"
"11/25/2021","11.9904","12.1731","12.2925","11.8260","","-0.14%"
"11/24/2021","12.0067","12.0856","12.2050","11.8400","","-0.67%"
"11/24/2021","12.0876","12.8214","13.1150","11.5171","","0.02%"
"11/23/2021","12.0855","12.8192","13.0810","11.6174","","-5.74%"
"11/23/2021","12.8216","11.3399","13.4937","11.3158","","0.02%"
"11/22/2021","12.8189","11.4064","13.2600","11.3363","","12.60%"
"11/22/2021","11.3840","11.2305","11.4767","10.9240","","1.32%"
"11/19/2021","11.2360","10.9640","11.3237","10.7980","","0.04%"
"11/18/2021","11.2310","10.9935","11.3157","10.7945","","2.14%"
"11/18/2021","10.9955","10.6252","11.2870","10.4160","","0.05%"
"11/17/2021","10.9905","10.6232","11.2850","10.4165","","3.41%"
"11/17/2021","10.6277","10.3587","10.7004","10.3074","","0.16%"
"11/16/2021","10.6103","10.3410","10.6829","10.2961","","2.58%"
"11/16/2021","10.3430","10.0543","10.4126","10.0315","","0.03%"
"11/15/2021","10.3395","10.0508","10.4091","10.0345","","2.76%"
"11/15/2021","10.0615","9.9945","10.0854","9.9375","","0.83%"
"11/12/2021","9.9784","9.8967","10.0236","9.8503","","0.03%"
"11/11/2021","9.9751","9.8899","10.0240","9.8495","","0.71%"
"11/11/2021","9.9052","9.8421","9.9870","9.8287","","0.05%"
"11/10/2021","9.9006","9.8379","9.9726","9.8150","","0.59%"
"11/10/2021","9.8427","9.7308","9.8788","9.7059","","0.05%"
"11/09/2021","9.8381","9.7252","9.8747","9.7130","","1.08%"
"11/09/2021","9.7331","9.6760","9.7422","9.6479","","0.08%"
"11/08/2021","9.7254","9.6681","9.7347","9.6510","","0.43%"
"11/08/2021","9.6840","9.6954","9.7481","9.6444","","-0.10%"
"11/05/2021","9.6933","9.6887","9.7646","9.6682","","0.20%"
"11/04/2021","9.6741","9.6842","9.7432","9.6505","","-0.31%"
"11/04/2021","9.7046","9.6445","9.7776","9.6184","","0.16%"
"11/03/2021","9.6893","9.6318","9.7679","9.6165","","0.46%"
"11/03/2021","9.6448","9.6103","9.7591","9.5758","","0.18%"
"11/02/2021","9.6276","9.6043","9.7438","9.5710","","0.25%"
"11/02/2021","9.6033","9.5410","9.6212","9.4535","","0.02%"
